STORE_NO,LASTEST_STORE_NO,STORE_NAME,LON,LAT,DO_NAME,STORE_TYPE_NAME,STORE_STATUS_NAME,BUSINESS_TIME_NAME,sells_ground_1f,Dining_area_seats_total,Dining_area_seats_outdoor,parking_lot,External_lavatory_sell,External_lavatory_outdoor,AREA_NAME,fm_100,hl_100,ok_100,px_100,sm_100,fm_250,hl_250,ok_250,px_250,sm_250,fm_500,hl_500,ok_500,px_500,sm_500,fm_1000,hl_1000,ok_1000,px_1000,sm_1000,GRID_LON,GRID_LAT,PEOPLE_FLOW,STORE_AMT,COMPETE_STORE_AMT,FLOW_INDEX,AVG_PSD
188201,188201,跨海,119.530540,23.637242,安澎區,FC1,一般,一般,40.9,24,0,5,0,2,外島---幹道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.535,23.635,191,1,0,191,87309.444006
210214,238809,治平,119.567972,23.569646,安澎區,FC1,一般,一般,33,16,0,0,0,0,外島---住宅,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,8,0,0,3,0,119.565,23.565,15999,5,6,1454,25252.644927
238809,238809,治平,119.567972,23.569646,安澎區,FC1,一般,非24小時營業,33,16,0,0,0,0,外島---住宅,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,8,0,0,3,0,119.565,23.565,15999,5,6,1454,31755.274418
892571,892571,天人菊,119.565267,23.565489,安澎區,FC1,一般,一般,26.7,4,0,0,0,0,外島---商業,1,0,0,0,0,2,0,0,1,0,4,0,0,1,0,5,0,0,2,0,119.565,23.565,15999,5,6,1454,66054.986909
930545,930545,新台澎,119.565404,23.567056,安澎區,FC1,一般,一般,22.2,0,0,0,0,0,外島---商業,0,0,0,0,0,3,0,0,0,0,4,0,0,1,0,6,0,0,2,0,119.565,23.565,15999,5,6,1454,63475.793571
901891,901891,新澎湖,119.567986,23.567238,安澎區,FC2,一般,一般,16.2,0,0,0,0,0,外島---商業,1,0,0,0,0,1,0,0,0,0,5,0,0,2,0,7,0,0,2,0,119.565,23.565,15999,5,6,1454,76496.603571
941833,941833,井垵,119.575892,23.519418,安澎區,FC1,一般,一般,33.7,18,0,1,0,2,外島---住宅,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.575,23.515,1331,1,0,1331,75765.423218
195483,195483,南洋,119.572546,23.566486,安澎區,FC1,一般,一般,13.3,0,0,0,0,0,外島---商業,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,7,0,0,2,0,119.575,23.565,3812,1,1,1906,40011.717916
120467,120467,文澳,119.584782,23.561965,安澎區,FC1,位移新開,一般,58.8,36,0,12,0,2,外島---住宅,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,119.585,23.565,16915,5,2,2416,87364.944485
981750,981750,百麗,119.582811,23.563332,安澎區,FC1,擴店,一般,53,29,0,1,0,3,外島---幹道,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,2,0,0,1,0,119.585,23.565,16915,5,2,2416,78998.460189
184140,184140,北岸,119.580778,23.563454,安澎區,FC1,一般,一般,39.4,20,0,0,0,1,外島---住宅,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,119.585,23.565,16915,5,2,2416,64094.285846
202095,202095,西文,119.584335,23.564883,安澎區,FC1,一般,一般,63.2,55,0,2,0,2,外島---住宅,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,1,0,119.585,23.565,16915,5,2,2416,49725.220588
209476,209476,海藍,119.583300,23.568526,安澎區,FC1,一般,一般,35.5,10,0,1,0,2,外島---住宅,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,119.585,23.565,16915,5,2,2416,37712.443877
900795,900795,白沙,119.598695,23.666813,安澎區,FC1,一般,一般,23.4,6,0,0,0,0,外島---幹道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.595,23.665,2030,1,0,2030,85666.087142
991322,991322,中隴,119.952267,26.159356,板城區,FC1,一般,非24小時營業,28.9,11,0,0,0,0,外島---商業,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,119.955,26.155,8672,3,1,2168,62625.274637
206617,206617,山隴,119.951819,26.156124,板城區,FC1,一般,非24小時營業,28.9,4,0,1,0,0,外島---住宅,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,119.955,26.155,8672,3,1,2168,58970.213270
970820,970820,金寧,118.337790,24.449591,北投區,FC1,一般,一般,42.9,22,0,10,0,3,外島---住宅,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.335,24.445,7138,2,0,3569,122543.951895
215091,215091,樂多,118.338156,24.440464,北投區,RC,一般,一般,37.1,20,0,1,0,0,外島---幹道,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,118.335,24.445,7138,2,0,3569,35931.385321
151391,151391,鎖港,119.597542,23.524809,安澎區,FC1,一般,一般,31.1,9,0,1,0,0,外島---幹道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,119.595,23.525,1862,1,0,1862,115898.377857
166740,166740,澎興,119.610916,23.552076,安澎區,FC1,一般,一般,31.1,12,0,0,0,1,外島---住宅,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.615,23.555,2513,1,0,2513,68335.104285
952512,952512,馬港,119.918753,26.159702,板城區,FC1,一般,非24小時營業,30.6,8,0,0,0,0,外島---商業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.915,26.155,2056,1,0,2056,75815.770714
208174,208174,芹壁,119.982475,26.224221,板城區,FC1,一般,非24小時營業,16,0,0,0,0,0,外島---商業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.985,26.225,224,1,0,224,11633.009174
208163,208163,塘岐,119.998564,26.223843,板城區,FC2,一般,非24小時營業,30.2,12,0,1,0,0,外島---商業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.995,26.225,4385,2,0,2192,47838.108173
952523,952523,北竿,119.998140,26.223812,板城區,FC1,一般,非24小時營業,44.9,23,0,0,0,0,外島---商業,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.995,26.225,4385,2,0,2192,106288.195000
